# energy(eV) alpha
6.147300000000000431e+00 3.447387827604419435e+05
6.163700000000000401e+00 3.500634494674457237e+05
6.180100000000000371e+00 3.553147000622756896e+05
6.196500000000000341e+00 3.603596478030129219e+05
6.212900000000000311e+00 3.650190515366171603e+05
6.229199999999999626e+00 3.691759580558266025e+05
6.245599999999999596e+00 3.727620015054840478e+05
6.261999999999999567e+00 3.757247863218938001e+05
6.278400000000000425e+00 3.781253303813317907e+05
6.294800000000000395e+00 3.800259001765239518e+05
6.311200000000000365e+00 3.815725850087126601e+05
6.327600000000000335e+00 3.828499435271395487e+05
6.344000000000000306e+00 3.839838787672152393e+05
6.360400000000000276e+00 3.850371363732363097e+05
6.376800000000000246e+00 3.860729986261356971e+05
6.393200000000000216e+00 3.871132183693148545e+05
6.409600000000000186e+00 3.882144987420078251e+05
6.426000000000000156e+00 3.893761491901585832e+05
6.442300000000000360e+00 3.906710665012112004e+05
6.458700000000000330e+00 3.921202010888250079e+05
6.475100000000000300e+00 3.937510849581229850e+05
6.491500000000000270e+00 3.955636981718149036e+05
6.507900000000000240e+00 3.975232395219795289e+05
6.524300000000000210e+00 3.995610245485840715e+05
6.540700000000000180e+00 4.016684268051391118e+05
6.557100000000000151e+00 4.037703648813935579e+05
6.573500000000000121e+00 4.058385136988551239e+05
6.589900000000000091e+00 4.078202472009155899e+05
6.606300000000000061e+00 4.096942515581197222e+05
6.622700000000000031e+00 4.114631281893770793e+05
6.639100000000000001e+00 4.131337183005868574e+05
6.655499999999999972e+00 4.147464127225757111e+05
6.671800000000000175e+00 4.163648739341996261e+05
6.688200000000000145e+00 4.180660678830518737e+05
6.704600000000000115e+00 4.199025583804286434e+05
6.721000000000000085e+00 4.219315418200668064e+05
6.737400000000000055e+00 4.242017690278555383e+05
6.753800000000000026e+00 4.266991339031686075e+05
6.770199999999999996e+00 4.294556047692454304e+05
6.786599999999999966e+00 4.324272519832451944e+05
6.802999999999999936e+00 4.356146504486228223e+05
6.819399999999999906e+00 4.390041023057978600e+05
6.835799999999999876e+00 4.425735248904368491e+05
6.852199999999999847e+00 4.463269033146383590e+05
6.868599999999999817e+00 4.502594855907349847e+05
6.884999999999999787e+00 4.543637922730839346e+05
6.901299999999999990e+00 4.585785115510448813e+05
6.917699999999999960e+00 4.629116122394069098e+05
6.934099999999999930e+00 4.672764845125254360e+05
6.950499999999999901e+00 4.716219551764847711e+05
6.966899999999999871e+00 4.758505291782944114e+05
6.983299999999999841e+00 4.799227034167879610e+05
6.999699999999999811e+00 4.837898311651317053e+05
7.016099999999999781e+00 4.874412580305784359e+05
7.032499999999999751e+00 4.909103262308748090e+05
7.048899999999999721e+00 4.942965315596328583e+05
7.065299999999999692e+00 4.976646024411935941e+05
7.081699999999999662e+00 5.011463718461589888e+05
7.098099999999999632e+00 5.048110579735161155e+05
7.114499999999999602e+00 5.087165226271942374e+05
7.130799999999999805e+00 5.129444287657003733e+05
7.147199999999999775e+00 5.174195965827399050e+05
7.163599999999999746e+00 5.220944440692695789e+05
7.179999999999999716e+00 5.268938010337719461e+05
7.196399999999999686e+00 5.316935491589988815e+05
7.212799999999999656e+00 5.363937911933794385e+05
7.229199999999999626e+00 5.408203619630038738e+05
7.245599999999999596e+00 5.448953267870804993e+05
7.261999999999999567e+00 5.484771838132308330e+05
7.278400000000000425e+00 5.515067269606016343e+05
7.294800000000000395e+00 5.539843044499336975e+05
7.311200000000000365e+00 5.559249347651258577e+05
7.327600000000000335e+00 5.573624570716115413e+05
7.344000000000000306e+00 5.583756320993195986e+05
7.360299999999999621e+00 5.590094146076581674e+05
7.376699999999999591e+00 5.593025884530147305e+05
7.393099999999999561e+00 5.592733835959663847e+05
7.409500000000000419e+00 5.589132874828713248e+05
7.425900000000000389e+00 5.582096465480648912e+05
7.442300000000000360e+00 5.571121978536960669e+05
7.458700000000000330e+00 5.555974322385458509e+05
7.475100000000000300e+00 5.536504027075096965e+05
7.491500000000000270e+00 5.512292799275130965e+05
7.507900000000000240e+00 5.483079885324059287e+05
7.524300000000000210e+00 5.448758180323801935e+05
7.540700000000000180e+00 5.409564806483720895e+05
7.557100000000000151e+00 5.365752059074268909e+05
7.573400000000000354e+00 5.317776634148914600e+05
7.589800000000000324e+00 5.266734033190424088e+05
7.606200000000000294e+00 5.213088598914607428e+05
7.622600000000000264e+00 5.158095244092389476e+05
7.639000000000000234e+00 5.102209144650993985e+05
7.655400000000000205e+00 5.046436680462462245e+05
7.671800000000000175e+00 4.991110129977542092e+05
7.688200000000000145e+00 4.935986081080663134e+05
7.704600000000000115e+00 4.881519976556596812e+05
7.721000000000000085e+00 4.827024669865902397e+05
7.737400000000000055e+00 4.772618411863718065e+05
7.753800000000000026e+00 4.717663404520484037e+05
7.770199999999999996e+00 4.662679459451557486e+05
7.786599999999999966e+00 4.607111092127228621e+05
7.802900000000000169e+00 4.551757818859445397e+05
7.819300000000000139e+00 4.496202259692518855e+05
7.835700000000000109e+00 4.440725318980554584e+05
7.852100000000000080e+00 4.384895252900201012e+05
7.868500000000000050e+00 4.328016180469962419e+05
7.884900000000000020e+00 4.269749489839618909e+05
7.901299999999999990e+00 4.208692283948024851e+05
7.917699999999999960e+00 4.145059414087564801e+05
7.934099999999999930e+00 4.078136161533112754e+05
7.950499999999999901e+00 4.007887699168718536e+05
7.966899999999999871e+00 3.934518863427014439e+05
7.983299999999999841e+00 3.859054675412241486e+05
7.999699999999999811e+00 3.781815219577727839e+05
8.016099999999999781e+00 3.704093762282636017e+05
8.032400000000000873e+00 3.626772710488457815e+05
8.048799999999999955e+00 3.550819891832729918e+05
8.065200000000000813e+00 3.477196018566974089e+05
8.081599999999999895e+00 3.406403471271395101e+05
8.098000000000000753e+00 3.338855867435026448e+05
8.114399999999999835e+00 3.274226731023243628e+05
8.130800000000000693e+00 3.212208416402484872e+05
8.147199999999999775e+00 3.152090653466267395e+05
8.163600000000000634e+00 3.093474831453150255e+05
8.179999999999999716e+00 3.034833600914752460e+05
8.196400000000000574e+00 2.975680579799325205e+05
8.212799999999999656e+00 2.915522824055448291e+05
8.229200000000000514e+00 2.853758844935938832e+05
8.245599999999999596e+00 2.790425856362861232e+05
8.261900000000000688e+00 2.725296876110553858e+05
8.278299999999999770e+00 2.659329802089812583e+05
8.294700000000000628e+00 2.593085811635970604e+05
8.311099999999999710e+00 2.526822822201248491e+05
8.327500000000000568e+00 2.461848067206979031e+05
8.343899999999999650e+00 2.398054912238260731e+05
8.360300000000000509e+00 2.336072775847189187e+05
8.376699999999999591e+00 2.275185106421764940e+05
8.393100000000000449e+00 2.215677631832583575e+05
8.409499999999999531e+00 2.157381838325140998e+05
8.425900000000000389e+00 2.099460855826672632e+05
8.442299999999999471e+00 2.042472364696520090e+05
8.458700000000000330e+00 1.986195834808158688e+05
8.475099999999999412e+00 1.930627921574832581e+05
8.491400000000000503e+00 1.876774824357916368e+05
8.507799999999999585e+00 1.824395916879549623e+05
8.524200000000000443e+00 1.774347986307263782e+05
8.540599999999999525e+00 1.726991746931708185e+05
8.557000000000000384e+00 1.683375800955432060e+05
8.573399999999999466e+00 1.642833417745218903e+05
8.589800000000000324e+00 1.605867719627464830e+05
8.606199999999999406e+00 1.571992366119348153e+05
8.622600000000000264e+00 1.541411125746642065e+05
8.638999999999999346e+00 1.512996742885381391e+05
8.655400000000000205e+00 1.486761768095601874e+05
8.671799999999999287e+00 1.461946593352091732e+05
8.688200000000000145e+00 1.438225841904402769e+05
8.704499999999999460e+00 1.415618565767814580e+05
8.720900000000000318e+00 1.393845841458543437e+05
8.737299999999999400e+00 1.373457860920944076e+05
8.753700000000000259e+00 1.354783943943293125e+05
8.770099999999999341e+00 1.337464670902476064e+05
8.786500000000000199e+00 1.322104042077337217e+05
8.802899999999999281e+00 1.308494610034287180e+05
8.819300000000000139e+00 1.296144426279795443e+05
8.835699999999999221e+00 1.284687183477820799e+05
8.852100000000000080e+00 1.274140825632035267e+05
8.868499999999999162e+00 1.264149554590824555e+05
8.884900000000000020e+00 1.253805644324017194e+05
8.901300000000000878e+00 1.243580534324989421e+05
8.917699999999999960e+00 1.232862808285568171e+05
8.933999999999999275e+00 1.222054325403437106e+05
8.950400000000000134e+00 1.211160002602051682e+05
8.966799999999999216e+00 1.200487589703949052e+05
8.983200000000000074e+00 1.189922626513001305e+05
8.999599999999999156e+00 1.180109347992708354e+05
9.016000000000000014e+00 1.170401389032546431e+05
9.032400000000000873e+00 1.161506199121287355e+05
9.048799999999999955e+00 1.153192788366184250e+05
9.065200000000000813e+00 1.145090927416834747e+05
9.081599999999999895e+00 1.137403019559233653e+05
9.098000000000000753e+00 1.129920488216247322e+05
9.114399999999999835e+00 1.122076977141118841e+05
9.130800000000000693e+00 1.114268166185888695e+05
9.147199999999999775e+00 1.105398178325456101e+05
9.163500000000000867e+00 1.095840604563680245e+05
9.179899999999999949e+00 1.085387901642910583e+05
9.196300000000000807e+00 1.073777388110303291e+05
9.212699999999999889e+00 1.061221515918120713e+05
9.229100000000000747e+00 1.047617143927153520e+05
9.245499999999999829e+00 1.033177088032197789e+05
9.261900000000000688e+00 1.017707784247042582e+05
9.278299999999999770e+00 1.001554385411336407e+05
9.294700000000000628e+00 9.851457883722744009e+04
9.311099999999999710e+00 9.676368130542298604e+04
9.327500000000000568e+00 9.498510030454816297e+04
9.343899999999999650e+00 9.316014744685478217e+04
9.360300000000000509e+00 9.126443579170435260e+04
9.376699999999999591e+00 8.935950835417938652e+04
9.393000000000000682e+00 8.739981877537952096e+04
9.409399999999999764e+00 8.540874983471039741e+04
9.425800000000000622e+00 8.344892212479362206e+04
9.442199999999999704e+00 8.149531274677372130e+04
9.458600000000000563e+00 7.965601011394914531e+04
9.474999999999999645e+00 7.792859386230733071e+04
9.491400000000000503e+00 7.633912823886786646e+04
9.507799999999999585e+00 7.496812090956364409e+04
